Species	RNAdensity	5UTRdensity	CDSdensity	3UTRdensity
AALA	19.887813979700233	33.17516585143576	18.39934339874256	21.17809839501389
AAXJ	38.02033634389518	122.55686298006546	27.340246940354124	22.228577948954293
ABCD	28.54742834060222	97.53619703470648	20.78489860518122	19.61493088538996
ABEH	31.862255827939144	87.8322867343003	27.250202503067353	15.440149915729286
ABIJ	18.058262410599323	31.8961317514858	11.925889807063385	27.90935239929046
ABSS	97.76219189141459	244.87494521802947	88.1112642685026	28.02012428676379
ACFP	65.08519063334712	174.69001375093688	64.5472162887152	19.34522175636837
ACWS	24.312603393571383	45.13117447880095	20.90831502175036	15.368019448972227
ADHK	40.14617427797158	110.16265822494297	35.690981786651136	17.000338792465936
AEPI	33.467723787906664	98.98897171568427	27.55368006522656	12.886774069467522
AFLV	167.00116939979875	457.91243822476156	143.8006721328381	37.23013054059456
AFPO	43.7202260212777	118.80603764618412	35.53222202615002	21.884606698675814
AFQQ	32.81020851468894	103.9851370577432	26.915207187958607	14.579539339573376
AHRN	59.52020561095282	119.97620696569726	48.64304429432392	65.69147189056599
AIGO	15.023051848762938	32.37052986960671	12.392223172695665	9.91782725907738
AIOU	24.703530001007582	89.89361024143143	14.82192479559799	24.42892634597277
AJFN	41.9326578549991	115.97774676983855	33.72081980054925	23.060337372735763
AJJE	47.638518666623874	153.3948295570547	35.10815970257552	27.30384328082981
AKXB	32.14928043786708	67.79302080535525	15.405921994588688	42.5980136153901
ALUC	42.92332278658829	112.70358562911063	36.995299684332274	29.453883759658666
ALVQ	26.606787125869825	105.00958048344442	9.377371098860731	17.817190534490262
ANON	47.00266339006506	72.88691000022204	15.231255678997478	64.22796741193584
AQFM	18.99940797844739	43.29932171612532	14.860108946012705	9.25295652075961
AQGE	29.75915912519976	91.2503592677915	25.688779606398178	13.26649144284769
AQZD	35.51783880484255	88.87841725985324	31.44775498833754	19.65513852562323
AREG	17.055893807950223	34.73793294703195	14.264685631017572	9.448393635927792
ARYD	49.225495252902725	91.68377570228192	47.64131311058557	24.50367072412802
ASMV	33.722405894822224	104.33505722327058	24.54773020814655	25.581399391957454
ATFX	38.77275807321383	118.92561976163593	33.20133969846959	15.193479796732198
ATYL	34.69721400083965	80.81732358262927	30.31589290330499	19.72319241713237
AUDE	10.256755551710278	19.337942516584587	8.936788360006753	6.44617394396059
AUGV	15.759304922851125	47.964763247969664	10.934272151017488	14.661024184653012
AUIP	38.03702546060471	79.43460716182418	30.62431211213257	42.14811534931282
AVJK	59.81109453721009	172.00705535300838	52.575352356533976	16.525829872090075
AWJM	33.48969047552265	101.49730208026095	27.26766886421302	15.273128737825525
AWOI	18.92847473870137	40.358117831425744	14.077703495748194	9.742635541793959
AWQB	18.585999360863546	44.16544756575962	15.485674299491004	7.783628169927826
AXAF	37.50899077326761	92.52777844826893	35.39719820765246	31.193778089022363
AXBO	80.74183642973843	195.79925254890463	75.04337819012295	42.9328119381839
AXNH	47.54514339327095	78.99520676431119	48.617583326891506	18.324218459866543
AXPJ	58.91897970986509	201.53000497738537	51.56478246528128	28.92382703551433
AYIY	70.5067329469604	276.2074395312217	47.583792384371726	26.514887293372542
AYMT	73.81127973580968	283.10510387916116	68.29098334073237	20.363365066735764
AZBL	103.45134599410233	347.7619578934653	75.31571809218757	46.68742461391808
BAHE	35.64206084628093	104.63608670476575	29.6622961840169	20.609776611237482
BBBA	51.62779953824762	112.96624373118813	48.44086922022822	39.229737186914
BBDD	24.32010760061519	62.549633271775676	19.335143543142348	9.702255421576229
BCAA	25.021848345628623	71.65729617705209	22.55923709278579	13.178261993821176
BCGB	74.44779344704172	223.57905736399815	64.84659385320556	16.593491626212973
BDJQ	58.43508705495864	180.4001075780458	49.58950024981377	13.332122073870497
BEFC	31.243921293538655	84.74628313856017	25.259144648038305	27.556441406662792
BEGM	65.4156944373444	266.9981003085163	17.87928166891404	47.580646572006835
BEKN	6.7200801416255755	17.983751680356796	4.580117859942236	7.009509275520903
BERS	55.618972828617515	176.49970295475524	39.38966303488455	31.84039398644752
BFJL	32.9893212466489	80.62032379868724	30.047563672470584	12.270861665241291
BGXB	28.678674434529785	65.50482780006043	25.939028389262482	20.134945534031445
BGZG	53.21546324547482	166.3709789328085	46.169154577762995	37.264981461393916
BHYC	33.050668807583236	92.72216511332546	27.53070732740364	14.21046648224639
BIDT	41.551252007948456	119.76699874789047	35.186484804988964	17.051406451480062
BJKT	57.34283599124818	195.08877762509073	47.276853252647506	31.706618188667157
BJSW	24.905583686957403	69.25769352236571	21.04339459078462	10.479442826322364
BKQU	72.694590683108	231.4198322258574	51.02333781880189	64.34574560459747
BLAJ	95.61877536880831	393.48652671864323	79.0660176709823	17.799867656422585
BLVL	92.30310562930481	225.38941851084434	89.9189184252762	25.601298649578908
BMIF	47.464574831771614	137.43187563923905	23.309293277141364	47.78846249510902
BMJR	33.902966974409	90.86099536334626	19.289628301013586	27.956426159578008
BMSE	20.539579965589706	81.54713738183506	14.290120742483044	12.416356735300466
BNCU	46.780754299966624	88.97804668920777	26.729020335978518	43.157141241562705
BNDE	70.50519217369896	273.95261821614986	58.072255083563746	17.339407172995266
BNTL	39.57984910722253	99.3502053606713	33.954100952439056	26.71227230657341
BOLZ	18.77529909176206	68.9245526487673	13.160470347737407	14.897071439824403
BPKH	118.1787276489677	663.972083596895	72.23545174390105	21.628112553437152
BPSG	35.64165254326165	85.5959851979013	23.111655082730355	21.06331299307091
BRUD	67.61559532913316	233.7340912021744	65.33740032604703	14.005374449498428
BSEY	48.37682887591802	131.18915552428032	39.39522499840785	21.487658746630107
BSNI	73.37932568677736	131.08992908592666	29.142131079108953	104.39093710004386
BSTR	59.98512097539803	171.48280216446236	54.27353284465929	9.16112821329753
BSVG	57.170333980881665	94.97037459753838	62.84023586725549	10.883497023072042
BTTS	19.772207059776875	49.60143785815156	12.930473196991333	16.1793817572712
BUWV	13.90113911286201	24.69063801247175	12.54066759348172	8.790221903658068
BVOF	34.25795181354987	98.88470623505548	27.974005344547127	14.463517039620788
BWRK	40.493036636537376	123.93244342023398	29.89502302873414	24.036840606179343
BXAY	102.92483496194669	571.9091389899477	67.1018177640846	20.866869373397723
BXBF	12.859724971817682	36.0362795244112	10.247524807318838	18.598907128217146
BYNZ	102.57140914187367	327.8968204856127	84.94744709345761	32.340911252734706
BYPY	129.56895801010515	514.4361315146673	99.08137834134789	58.54183985294289
BYQM	103.98177943641551	429.8765425275328	65.2384482853532	10.938510212146587
BZDF	50.99681209324915	95.87512625338701	49.62898110574844	25.54620870954166
CAPN	144.571008508974	468.5173724253293	89.53323119417954	135.88489267657343
CAQZ	58.789658487281635	133.80556154301655	55.17722486896273	31.967743666794046
CBAE	16.571196065749756	40.661054459000255	12.04461140176015	8.928617582139758
CBJR	38.219752251072634	117.75732088205669	27.812898378867956	22.05093766600848
CCID	22.143883257749255	46.932607224683125	21.114904234838452	12.57615693525225
CDFR	20.99673154431707	54.91304738181689	17.438385198531932	4.668560385011346
CFRN	41.55331695305177	111.64243355541626	36.94429843202369	23.51027573199679
CGDN	13.810636525118559	25.77457982065188	13.191579398293877	6.499008495016479
CIAC	24.197499903414293	61.90219453263843	21.337982448285125	14.975289031784875
CIEA	84.62747280562839	201.74412106948213	75.58820442917455	32.85502174073206
CJGZ	57.117097825378295	113.8091420687507	54.40702867586746	28.263937405330736
CJNT	45.16238115482075	124.74313407709792	21.9779261092058	46.523264096857126
CKDK	32.23771528426416	78.09490457012782	29.189438755856308	15.105685102721264
CKKR	36.0739095729645	100.70533818455831	30.004852747893615	23.01582322082169
CLMX	75.21508988610839	215.13796072805383	64.03609307063981	42.042208987998855
CLNU	78.8403075991773	233.95295418775788	67.14395983576959	32.63939148821434
CLRW	33.70090094678	81.33213048268374	29.88741589755885	21.666108542642515
CMCY	125.44791574570048	394.0170033491445	110.80139041804445	15.285603733418036
CMEQ	36.47887313708863	84.66433466324413	22.04014871004168	37.08789535973229
CMFF	15.360408216850946	29.655527634269305	15.792618059900393	9.482400889720129
CNTZ	47.973077302681915	123.31164040624807	44.89634556218331	9.357565685432329
COAQ	40.84446515193995	108.01321446373186	38.672680242968376	4.518971611174772
COBX	45.27709523939739	136.12306020763262	36.04969422956161	15.836405674822336
COCP	114.94713289701161	617.0757124343678	77.14854131547375	17.156123728248716
CPKP	61.375293937923566	183.45903308391075	46.726284829823896	44.52150066795119
CPLT	116.70181376719168	448.34765699372736	83.87991669292177	33.668421646015155
CPOC	33.17583290471838	65.74460306295019	31.583490170886876	20.251588260591085
CQMG	36.55373368081944	127.80076073226306	31.374500038938	8.976046778026637
CQPW	81.59303339325848	206.85323258627923	52.62652315480418	78.53580878202614
CRNC	16.606077401244082	38.655675388149255	14.271809849945383	13.979372759072724
CSSK	66.76856659644726	278.0634426019676	55.398989614623886	10.555438482339056
CSUV	8.554376405021456	18.842840244119465	7.520737579245499	9.900664651419378
CTSS	31.949933065758433	71.8070824678325	28.43836796268886	27.714797048079276
CTYH	56.45833838523881	142.73633125944602	51.033633538159016	37.22431962760007
CUTE	49.8308415692294	122.30606335221118	43.64403098115068	30.481165931420303
CVDF	63.17269299888145	188.48063007659167	50.62666555590251	21.467710730451948
CVEG	42.346172928988224	135.72232320609365	26.728635275747045	33.71621845637037
CWYJ	21.303666351251348	90.97872462524639	15.882259759132218	8.230269381558193
CWZU	51.521049282126896	149.5470614861884	47.08192796712821	19.358478748293255
CZPV	26.41858531936873	58.76572290761721	23.92781503448815	14.440070707472382
DAAD	93.62941542621284	286.74643479941847	91.52870829783215	11.433013971143072
DAYQ	30.561843140206715	84.45611126144682	24.279145918914725	20.278493238426123
DCCI	33.941650005053425	80.23127163710339	31.390523512460597	10.826250983915163
DCDT	34.24745973069526	79.27234432812821	22.438931652427662	32.57602360491799
DDRL	35.555456833245906	77.07214693384114	32.080086631583235	19.325114303659035
DESP	19.968439671221137	67.2838878900908	15.16588078536168	9.715553843890868
